"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ServicesCategory.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"138",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.222710806724512,0.0912510659797541
"139",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.593821402277657,0.639004301518438
"140",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Unlabeled","Army","YOUNG",0,0
"141",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","Army","YOUNG",3.90568412408894,4.72618498951554
"142",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","Navy","YOUNG",1.98388957522777,1.85107576598698
"143",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","Air Force","YOUNG",1.14327695178959,1.04198938358641
"144",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","DLA","YOUNG",1.88356700460954,2.28831432048807
"145",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","MDA","YOUNG",0.000232318872017354,0.00034097866955893
"146",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","MilitaryHealth","YOUNG",2.72440347071584e-05,8.85192108535025e-05
"147",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Products (All)","Additional DoD Components","YOUNG",0.115769023167028,0.107402217310195
"148",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","Army","YOUNG",0.137246772548807,0.138860166587129
"149",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","Navy","YOUNG",0.174632304132321,0.211381093561099
"150",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","Air Force","YOUNG",0.433005457429501,0.395479577227043
"151",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","DLA","YOUNG",7.5409978308026e-05,0.00105116170643529
"152",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","MDA","YOUNG",0.109147484815618,0.0903049551699205
"153",2008-03-31,"Q2",2008-09-30,1.33698630136986,"R&D","Additional DoD Components","YOUNG",0.0879647046420824,0.0672767023716558
"154",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","Army","YOUNG",3.26437011515184,2.68693814506869
"155",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","Navy","YOUNG",1.32058896160304,1.277457017859
"156",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","Air Force","YOUNG",1.85065592617137,1.3581750356363
"157",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","DLA","YOUNG",0.0491856986008677,0.043188195032538
"158",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","MDA","YOUNG",0.0101344642082429,0.00956998590021692
"159",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.00100410368763557,0.0746936368040492
"160",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.525942026681128,0.605016562650036
"161",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Unlabeled","Army","YOUNG",-9.76138828633406e-06,-3.25379609544469e-06
"162",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Unlabeled","Navy","YOUNG",0,NA
"163",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","Army","YOUNG",4.42706737798265,3.76965028956977
"164",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","Navy","YOUNG",3.67976490539046,2.31022597587852
"165",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","Air Force","YOUNG",0.932517676843818,0.997326161923355
"166",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","DLA","YOUNG",6.07710911086768,3.22483307811641
"167",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","MDA","YOUNG",0.000251690889370933,0.000163453723788865
"168",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","MilitaryHealth","YOUNG",5.0130021691974e-05,2.57904483007954e-05
"169",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Products (All)","Additional DoD Components","YOUNG",0.155879062722343,0.123815893651482
"170",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","Army","YOUNG",0.255434693590022,0.150385461948662
"171",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","Navy","YOUNG",0.259579682754881,0.228398697989877
"172",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","Air Force","YOUNG",0.318539247299349,0.386637008886479
"173",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","DLA","YOUNG",0.0026746431670282,0.000920227404193781
"174",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","MDA","YOUNG",0.0394093942516269,0.0603764502892263
"175",2008-03-31,"Q2",2008-09-30,1.41643835616438,"R&D","Additional DoD Components","YOUNG",0.0636755434056399,0.0689991188828633
"176",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","Army","YOUNG",3.87766763227766,3.14428842630875
"177",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","Navy","YOUNG",1.95385304556399,1.49743374437382
"178",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","Air Force","YOUNG",1.30262279375271,1.3674183282791
"179",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","DLA","YOUNG",0.0827812744685466,0.0583757483224873
"180",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","MDA","YOUNG",0.00751144902386117,0.00866247143890094
"181",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","MilitaryHealth","YOUNG",0,0.0745716368040492
"182",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.836835450032538,0.652199626330441
"183",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Unlabeled","Army","YOUNG",-0.000103398221258134,-3.77198698481562e-05
"184",2008-03-31,"Q2",2008-09-30,1.41643835616438,"Unlabeled","Navy","YOUNG",0,3.98721143413028e-06
"185",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","Army","YOUNG",3.13796408545553,3.82357186250904
"186",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","Navy","YOUNG",1.67152396437093,2.44505948166305
"187",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","Air Force","YOUNG",1.15727550537961,1.077690044671
"188",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","DLA","YOUNG",2.16386532399132,3.37484714648952
"189",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","MDA","YOUNG",0.000719373101952278,0.000401127621113521
"190",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","MilitaryHealth","YOUNG",0.000764177299349241,0.000280517118582791
"191",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Products (All)","Additional DoD Components","YOUNG",0.145370349739696,0.139006145209689
"192",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","Army","YOUNG",0.350758836019523,0.247813434052784
"193",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","Navy","YOUNG",0.252832611507592,0.229014866131598
"194",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","Air Force","YOUNG",0.476111787245119,0.40921883065799
"195",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","DLA","YOUNG",0.00312353786334056,0.00195786366955893
"196",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","MDA","YOUNG",0.0239068893709328,0.057487922812726
"197",2008-06-30,"Q3",2008-09-30,1.5013698630137,"R&D","Additional DoD Components","YOUNG",0.0670724846312364,0.0729042442263196
"198",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","Army","YOUNG",3.38490732505423,3.50898169082791
"199",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","Navy","YOUNG",1.82893934501085,1.70112711739262
"200",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","Air Force","YOUNG",1.07492181533623,1.4094001784201
"201",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","DLA","YOUNG",0.0991942055856833,0.0770537262183659
"202",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","MDA","YOUNG",0.00779661027114967,0.00848084116775126
"203",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.00951580780911063,0.00350663716558207
"204",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.559059712646421,0.640612396453362
"205",2008-06-30,"Q3",2008-09-30,1.5013698630137,"Unlabeled","Army","YOUNG",1.62689804772234e-06,-3.71775704989154e-05
"206",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","Army","YOUNG",5.53504371011931,4.36669172451916
"207",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","Navy","YOUNG",2.58687500291757,2.64605462422632
"208",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","Air Force","YOUNG",1.3631016510846,1.15096494443601
"209",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","DLA","YOUNG",1.23457335912147,3.15851593132682
"210",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","MDA","YOUNG",0.000354498470715835,0.000441854154013015
"211",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","MilitaryHealth","YOUNG",4.00542299349241e-06,0.000272770914678236
"212",2008-06-30,"Q3",2008-09-30,1.58356164383562,"Products (All)","Additional DoD Components","YOUNG",0.0939099174403471,0.131719776634129
"213",2008-06-30,"Q3",2008-09-30,1.58356164383562,"R&D","Army","YOUNG",0.271411671301518,0.292535066970354
"214",2008-06-30,"Q3",2008-09-30,1.58356164383562,"R&D","Navy","YOUNG",0.205533004859002,0.239315099707158
"215",2008-06-30,"Q3",2008-09-30,1.58356164383562,"R&D","Air Force","YOUNG",0.221132429436009,0.338594487993492
